GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
auth-api,com.runConnect.auth_api.config,SecurityConfig,261,0,0,0,35,0,8,0,8,0
auth-api,com.runConnect.auth_api.config,SecurityFilter,57,0,8,0,14,0,7,0,3,0
auth-api,com.runConnect.auth_api.config,WebConfig,78,0,0,0,10,0,3,0,3,0
auth-api,com.runConnect.auth_api,AuthApiApplication,8,0,0,0,3,0,2,0,2,0
auth-api,com.runConnect.auth_api.services,AuthorizationService,16,0,0,0,3,0,3,0,3,0
auth-api,com.runConnect.auth_api.services,TokenService,49,0,0,0,18,0,4,0,4,0
auth-api,com.runConnect.auth_api.model,Usuario,20,73,0,0,7,12,7,21,7,21
auth-api,com.runConnect.auth_api.model,SeguidoresId,118,0,22,0,6,0,20,0,9,0
auth-api,com.runConnect.auth_api.model,Seguidores,42,0,0,0,10,0,8,0,8,0
auth-api,com.runConnect.auth_api.model,Corrida,38,0,0,0,7,0,11,0,11,0
auth-api,com.runConnect.auth_api.model.enums,Genero,0,21,0,0,0,4,0,1,0,1
auth-api,com.runConnect.auth_api.dto,CadastroRequestDTO,0,27,0,0,0,1,0,1,0,1
auth-api,com.runConnect.auth_api.dto,LoginRequestDTO,9,0,0,0,1,0,1,0,1,0
auth-api,com.runConnect.auth_api.dto,UsuarioPublicoDTO,1,51,1,1,0,11,1,2,0,2
auth-api,com.runConnect.auth_api.dto,LoginResponseDTO,18,0,0,0,1,0,1,0,1,0
auth-api,com.runConnect.auth_api.dto,CorridaRequestDTO,15,0,0,0,1,0,1,0,1,0
auth-api,com.runConnect.auth_api.dto,CorridaResponseDTO,38,0,0,0,9,0,2,0,2,0
auth-api,com.runConnect.auth_api.controller,ImagemUploadController,83,0,8,0,20,0,6,0,2,0
auth-api,com.runConnect.auth_api.controller,CorridaController,117,0,4,0,30,0,8,0,6,0
auth-api,com.runConnect.auth_api.controller,UsuarioController,187,44,4,2,41,14,14,5,12,4
auth-api,com.runConnect.auth_api.controller,AuthenticationController,38,66,0,2,10,15,1,3,1,2
